,categories,headers,contents
28,politics,Madison Cawthorn's loss in his North Carolina primary race undermines the myth surrounding the power of a Trump endorsement,"Trump has called his endorsement record ""unparalleled"" and vital for GOP victories, but Cawthorn has proven those claims wrong."
29,politics,Russia May Abandon Captured Troops in Ukraine,"Russia might want to avoid having to exchange captured members of Ukraine's Azov regiment, who have been called ""Nazi criminals."""
30,politics,US sues casino mogul Steve Wynn to compel him to register as agent of China,Justice department says Wynn lobbied the Trump administration for China to protect his business interests in Macau
31,politics,Hundreds of Ukrainians defending Azovstal plant surrender to uncertain fate,"MARIUPOL, Ukraine, May 17 (Reuters) - Hundreds of Ukrainian fighters surrendered to an uncertain fate on Tuesday after weeks holed up in the bunkers and tunnels below Mariupol's Azovstal steel works as the most devastating siege of Russia's war in Ukraine drew to a close. Russian forces pummelled Mariupol, a..."
32,politics,Cawthorn loses primary in North Carolina,The controversial Republican was defeated by state Sen. Chuck Edwards.
33,politics,"A Republican congressional candidate in Florida paid her home energy bill using campaign funds, potentially violating federal law","An attorney for the campaign said they thought they were allowed to use the funds based on a ""good faith"" understanding of the ""highly confusing"" rules."
34,politics,Paul-Booker fall matchup set in Kentucky Senate race,"LOUISVILLE, Ky. (AP) — Republican U.S. Sen. Rand Paul looked past his fall opponent Tuesday to slam national Democrats, while his Democratic challenger doubled down on his progressive message and vowed to take the fight to the incumbent in a matchup featuring contrasting agendas. The libertarian-leaning Paul coasted to..."
35,politics,Sunny Hostin and Joy Behar Clash with Sara Haines Over “Rigged” Electoral College: “It Was Founded in Slavery”,"'The View's Conservative Guest Host Alyssa Farah Griffin Says Her Goal Now Is To Convince Viewers That ""Trump Is Terrible For Our Country"" Ana Navarro Calls for Republican Accountability Following Buffalo Mass Shooting: ""Time to Name Names and Point Fingers"" Ana Navarro Says Formula Shortage, Roe v. Wade News Make..."
36,politics,Donald Trump Unnecessary for Jan. 6 Investigation to Prove Case: Thompson,"Thompson, who chairs the committee investigating the riot, said it's unclear if Trump would help investigators understand already-uncovered evidence."
37,politics,New White House press secretary blasted for botching answer to inflation question: ‘Excruciating to watch',"New White House press secretary Karine Jean-Pierre’s first official day on the job was marked by mockery as conservatives on Twitter slammed her for failing to handle a question on inflation. On Monday, Fox News White House correspondent Peter Doocy asked Jean-Pierre about a recent President Biden tweet claiming..."
38,politics,Russia reportedly moves nuclear-capable missiles to Finland border,"Russia has reportedly moved missiles capable of firing nuclear warheads close to its border with Finland amid heightened threats over the latter’s bid to join NATO.

A fleet of more than a dozen military vehicles moved down a highway — including seven that are thought to carry Iskander missiles, a video clip shared by Reuters Monday shows.

They were taken to Vyborg, a Russian city on the Finnish border, “as soon as the president of Finland said they were joining NATO,” the unidentified narrator of the clip said.



“Looks like a new military unit is about to be formed in Vyborg or the..."
39,politics,"""Eyepatch McCain"": Tucker Carlson attacks GOP Rep. Dan Crenshaw's disability over Ukraine aid","Fox News host Tucker Carlson lashed out Rep. Dan Crenshaw, calling him ""eyepatch McCain"" to suggest that the lawmaker's support for U.S. aid to Ukraine was like that of the late Sen. John McCain, R-Ariz., a notorious war hawk. Carlson's comment came during a monologue in which the conservative pundit..."
40,politics,"Alberta premier says Canada could boost oil export to U.S., calls for major new pipeline","May 17 (Reuters) - Canada could add over a million barrels per day (bpd) of oil export capacity to the United States over the next two years, Alberta Premier Jason Kenney told a U.S. Senate committee on Tuesday, while also calling for a new cross-border oil pipeline. However, federal Natural..."
41,politics,"Under political pressure, Biden officials toughen border message","HARLINGEN, TEXAS, May 17 (Reuters) - U.S. Homeland Security Secretary Alejandro Mayorkas toured the U.S.-Mexico border in South Texas on Tuesday as he pushes a tougher message of restoring consequences for people crossing illegally, countering criticism from Republicans and some Democrats of President Joe Biden's approach. During an early morning..."
42,politics,"Russia is sending a ragtag group of soldiers to fight in Ukraine because of 'significant resourcing problems,' UK intel says","Russia is relying on mercenaries and the forces of Chchen warlod Ramzan Kadyrov to cover gaps in its main army, UK officials said."
43,politics,Op-Ed: Biden cancels consumer consent,"President Joe Biden’s infrastructure legislation, passed in November, 2021, undercuts consumer privacy. Buried in the legislation is a requirement that car manufacturers create a new monitoring system for cars by the year 2026. The bill requires new systems to “passively monitor” a driver’s performance to identify whether a driver is impaired."
44,politics,"Mayorkas decries GOP attacks over baby formula at border facilities as ""repugnant""","McAllen, Texas — Secretary of Homeland Security Alejandro Mayorkas on Tuesday forcefully denounced the connection some Republican lawmakers have made between the national baby formula shortage and the availability of formula at migrant holding facilities along the U.S.-Mexico border. ""We are taking care of the basic needs of people..."
45,politics,Russia-Ukraine war: what we know on day 83 of the invasion,Fate of Ukrainian soldiers unclear after evacuation from Mariupol; peace talks stall between Russia and Ukraine
46,politics,Republican Who Put Tent on Nancy Pelosi's Lawn Slams DeSantis Protest Law,"Laura Loomer, a far-right political activist who is running in a congressional GOP primary in Florida, said the new law violates the First Amendment."
47,politics,‘Guarantees Conferred by Our Constitution’: Michigan Court Blocks Enforcement of 1931 Abortion Ban in State if Roe Is Overturned,"A Michigan court on Tuesday blocked enforcement of a nearly century-old law banning abortion in that state if the Supreme Court overturns Roe v. Wade. After the conservative wing of the Supreme Court appeared to tip their hands in oral arguments Dobbs v. Jackson Women’s Health Organization, Michigan Gov. Gretchen Whitmer (D) and progressive groups began to eye a 1931 abortion ban in that state. Whitmer filed lawsuits seeking to strike down that long-dormant statute, if Roe were overturned."
48,politics,"Top Ukrainian commanders not surrendered from Azovstal, pro-Russian rebel says","LONDON, May 18 (Reuters) - Top-ranking Ukrainian commanders have not yet surrendered from the labyrinth of bunkers and tunnels below the Azovstal steel works in Mariupol, the leader of the Russian-backed separatist region of Donetsk said on Wednesday. As the most devastating siege in Russia's invasion moves towards a finale,..."
49,politics,‘Corrective Action Required’: Court Clerk Quibbles with Clinton Campaign Lawyers Over Signature Block Snafu in Trump RICO Lawsuit,"A federal court clerk’s office on Tuesday quibbled with attorneys for Hillary Clinton’s 2016 campaign over how to properly file a document in a sprawling civil lawsuit against myriad defendants, including the Clinton campaign and Clinton personally, by political rival and 2016 election winner Donald Trump. The clerk’s..."
50,politics,A new Air Force weapon just successfully reached Mach 5,"On May 14, above the sea off the coast of California, one of the Air Force’s oldest bombers tested one of its newest weapons. Carried by a venerable B-25H Stratofortress, the projectile the military released and successfully tested is officially called an AGM-183A Air-launched Rapid Response Weapon (ARRW). After release, the ARRW blasted forward, reaching five times greater than the speed of sound, making it hypersonic."
51,politics,Biden's response to the baby formula shortage is disappointing — and disingenuous,"President Joe Biden announced last week that his administration would take a variety of steps to help parents who are struggling amid a nationwide shortage of baby formula. Biden promised to loosen regulations that restrict imports and to take measures that would increase domestic manufacturing capacity. But when a reporter asked, “Should you have taken those steps sooner before parents got to these shelves and couldn’t find formula?” the president was indignant."
52,politics,"Madison Cawthorn loses primary, concedes to Chuck Edwards in North Carolina","WASHINGTON — Buckling under the weight of scandal, Rep. Madison Cawthorn, R-N.C. — a favorite of former President Donald Trump — lost his re-nomination bid in western North Carolina’s 11th District on Tuesday, NBC News projected. State Sen. Chuck Edwards, a conservative backed by many of..."
53,politics,Forget the Madison Cawthorn sideshow – primary night was good sign for Trump and another wake up call for Democrats,"Donald Trump’s name was not on the ballot. But he emerged as a clear winner on a night that will likely prove critical not only to his political future, but the fortunes of the United States.The former president has backed numerous candidates as he seeks to cement his hold on the party, and he endorsed candidates in five showcase Republican primary races that were being closely watched as an indicator of the power of such patronage.As results from races being held in five states – Idaho, North Carolina, Pennsylvania, Kentucky and Oregon – were coming in, two of his picks, Doug..."
54,politics,Nancy Pelosi Suggests Criminal Penalties For Baby Formula Shortage,"Democrats also announced new legislation aimed at relieving the problem, which is affecting families around the country."
55,politics,First Lady Jill Biden Addresses Parents Amid Nationwide Formula Shortage in New PSA: 'You're Not Alone',"Dr. Jill Biden is addressing the nationwide shortages of baby formula, saying in a new Public Service Announcement that the administration recognizes the frustrations of American parents — and that the Biden administration is ""working around the clock to get you what you need."" ""Becoming a mom or dad..."
56,politics,"Vladimir Putin Has a Strange Smell, Number of Oddities—Fiona Hill","The former adviser to Donald Trump said Putin probably needed glasses and ate and drank nothing at a dinner she attended, where the Russian president ""barely gave her a glance."""
57,politics,Russia Opens Fire On Israeli Jets Over Syria—Report,The reports allege that Russia used its S-300 anti-aircraft missiles as the Israeli jets attacked targets in north western Syria
58,politics,U.S. to Extend COVID Public Health Emergency,"May 17, 2022 – Federal health officials will extend the COVID-19 public health emergency past mid-July, which will continue pandemic-era policies as coronavirus cases increase again. The U.S. Department of Health and Human Services has renewed the emergency order since January 2020. The declaration allows the U.S. to grant..."
59,politics,Takeaways from Tuesday's primaries,"Primaries were held Tuesday in five states, with former President Donald Trump's high-profile endorsements had mixed results on Tuesday night and Republicans advancing candidates who questioned the election results. Here are some of the takeaways from Tuesday's contests:. How did Trump do?. Former President Trump's candidates had mixed results on..."
60,politics,Primary election results – live: Trump rages as Dr Oz struggles and Madison Cawthorn crashes out," With almost all the results now in from Tuesday’s key primary elections, strong performances by several Donald Trump-backed candidates underscore the former president’s ongoing clout within the party – but it was far from a perfect scorecard, with North Carolina Republicans throwing out Trump-backed congressman Madison Cawthorn in his primary.The scandal-hit Mr Cawthorn’s defeat has met with celebration among the ex-president’s critics, including within the Republican Party – where even many in the establishment wanted to see the congressman removed from office because of his extreme statements and outlandish behaviour.Meanwhile, Mr Trump has taken to Truth Social to baselessly..."
61,politics,Jerry Jones: Donald Trump said he felt sorry for guy who bought Cowboys,"Dallas Cowboys owner Jerry Jones told NBC Sports he thinks he could get ""10 billion"" for the Cowboys made it clear he will never sell his team. In 1999, Jones bought the Cowboys for then a record of $150 million. The Cowboys are now the most valuable team in the..."
62,politics,"Kathy Barnette, Pennsylvania Republican Senate candidate, campaign believes photos of her on Jan. 6 are genuine","Pennsylvania Republican Senate candidate Kathy Barnette's campaign believes that photos appearing to show her on the streets of Washington, D.C. on Jan. 6th are of her, a person close to the campaign confirmed to CBS News. The images appearing to show Barnette were first reported by Chad Loder, who researches..."
63,politics,House 1/6 panel rejects Justice Dept.'s transcript request," The House panel investigating the Jan. 6 insurrection at the U.S. Capitol is rejecting a request from the Justice Department for access to the committee’s interviews, for now.Rep. Bennie Thompson, D-Miss., the committee’s chairman, said Tuesday that the Justice Department had made the request as part of its ongoing criminal investigation into the attack. But he said it was “premature” for the committee to share its work at this point because the panel’s probe is ongoing.The Justice Department’s request comes as prosecutors have been issuing subpoenas and seeking interviews with people who had been involved in planning events leading..."
64,politics,"Analysis: Putin takes Mariupol, but wider Donbas victory slipping from reach","KYIV/KHARKIV, Ukraine, May 17 (Reuters) - Even as the Kremlin prepares to take full control of the ruins of Mariupol city, it faces the growing prospect of defeat in its bid to conquer all of Ukraine's eastern Donbas because its badly mauled forces lack the manpower for significant advances. Russian..."
65,politics,"In Wake Of Racist Buffalo Shooting, Chuck Schumer Goes After Fox News","The Democratic leader called on Rupert Murdoch to ""cease the reckless amplification of the so-called ‘Great Replacement’ theory on your network’s broadcasts."""
66,politics,Democratic Voters Deliver Stinging Rebuke to Party’s Manchin-Sinema Wing,"A Republican-backed super PAC on Tuesday fell short in its bid to intervene in a Democratic primary against Pennsylvania state Rep. Summer Lee, a 34-year-old Black woman and rising star in the party, who fended off a tsunami of outside money to best anti-union attorney Steve Irwin. The spending, from a GOP-backed super PAC linked to AIPAC — the American Israel Public Affairs Committee — left Irwin behind by less than 1,000 votes."
67,politics,COVID-wracked North Korea may greet Biden with 'imminent' missile test,"SEOUL, May 18 (Reuters) - Despite battling a wave of suspected COVID-19 infections, North Korea appears to be preparing to test an intercontinental ballistic missile (ICBM) ahead of U.S. President Joe Biden's first trip to South Korea, South Korean and U.S. officials said. An ICBM test appeared imminent, Deputy National..."
68,politics,A former Trump advisor on Russia recalled that Putin smelled odd and neither ate nor drank at dinner,"The former White House advisor Fiona Hill said Vladimir Putin smelled ""almost like he had stepped out of some special preparatory bath"" when they met."
69,politics,"Madison Cawthorn, Trump-backed incumbent congressman, loses primary","CBS News projects that Chuck Edwards will win the Republican primary for North Carolina's 11th Congressional District, defeating incumbent Rep. Madison Cawthorn. Cawthorn called Edwards to concede by 9:45 p.m. ET, Edwards' campaign said. In a Zoom call with reporters after the concession, Edwards said his win means that ""the..."
70,politics,Ukrainians Blast Russian Tank Found By Drone to Smithereens,Nighttime aerial footage shows how a Russian tank is blasted to smithereens by Ukrainian munitions.
71,politics,"No Winner Yet in Pennsylvania's Hot U.S. Senate Republican Primary, Key Midterm Matchup","PHILADELPHIA (Reuters) -Pennsylvania's hotly contested U.S. Senate Republican primary between TV personality Dr. Mehmet Oz and former hedge fund executive David McCormick was still undecided on Wednesday, after a technical error delayed the counting of thousands of ballots. Oz, whose candidacy was propelled by a late endorsement from former President..."
72,politics,Madison Cawthorn Loses Primary After Brutal Barrage Of GOP Attacks,The Republican congressman has been at odds with GOP officials in both North Carolina and in the U.S. House.
73,politics,Politico reports Biden is ‘finally’ going to stop ‘trying to work with GOP’ and instead go on ‘attack’,"A recent Politico piece reported that President Joe Biden is ""finally"" rethinking efforts to reach across the aisle and work with Republican lawmakers because of their ""obstructionism."" On Sunday, Politico’s John Lemire began his piece declaring, ""The fever didn’t break. And for the Biden White House, efforts at bipartisanship have..."
74,politics,"Former Moscow chief of station Rolf Mowatt-Larssen on the state of play in Ukraine - ""Intelligence Matters""","In this episode of ""Intelligence Matters,"" host Michael Morell speaks with former senior CIA operations officer and Moscow station chief Rolf Mowatt-Larssen about the likely trajectory of the war in Ukraine, including the possibility of a negotiated peace — or dangerous escalation. Mowatt-Larssen offers insights on Putin's options, potential rifts among his intelligence agencies, and persistent rumors about the Russian leader's health. Morell and Mowatt-Larssen also discuss Western involvement in the conflict and the lingering potential for the Kremlin to use weapons of mass destruction."
75,politics,War in Ukraine: Latest developments,"Here are the latest developments in the war in Ukraine:
- Hundreds of Mariupol defenders surrender -
Russia says that 265 of the Ukrainian fighters who had been holding out at a steelworks in the city of Mariupol for weeks have surrendered under a deal struck with Kyiv. Azovstal became a symbol of Ukrainian resistance to the Russian invasion, with the fighters holding out in dire conditions for weeks after the city fell to Russian forces."
76,politics,"After Madison Cawthorn's Primary Defeat, Is Marjorie Taylor Greene Next?","The North Carolian freshman, just like his Georgia counterpart, has faced a constant stream of controversies during his time in office."
77,politics,Madison Cawthorn: Trump-backed Gen Z congressman ousted amid scandal,"To his fans, he was a fresh-faced outsider elected to Congress to give voice to Americans young and old fed up with 'wokeism'. To his critics - and there were many - he was a shameless opportunist more interested in personal branding than public service. Neither friend nor foe could..."
78,politics,Half of Americans Believe Unknown Group Secretly 'Run' the Country: Poll,"Nearly 50 percent of Americans believe that ""the people who really 'run' the country are not known to the voters,"" according to a new poll."
79,politics,"Trump-backed Ted Budd wins GOP Senate primary in North Carolina, NBC News projects","U.S. Rep. Ted Budd won North Carolina’s Republican Senate primary Tuesday, defeating former Gov. Pat McCrory and former U.S. Rep. Mark Walker, NBC News projected. Just after 9:45 p.m. ET, Budd led McCrory by more than 30 points. His victory sets up a fall battle with Democratic nominee Cheri Beasley, the former chief justice of the state Supreme Court."
80,politics,Durham Prosecutor Kicks Off False Statement Trial by Accusing Michael Sussmann of Using FBI as a ‘Political Tool’ for Democrats,Opening statements began Tuesday morning in the federal false statement trial for former Perkins Coie cybersecurity lawyer Michael Sussmann. The government started the proceedings off by blasting the onetime Hillary Clinton presidential campaign apparatchik as an elite attorney who tried to use the FBI for his own partisan ends. “We...
81,politics,Macron tells Zelenskiy: French arms deliveries to Ukraine will intensify,"PARIS, May 17 (Reuters) - French President Emmanuel Macron told his Ukrainian counterpart on Tuesday that French arms deliveries to Ukraine would intensify in coming days and said France was ready to respond to additional demands for help, the Elysee said. ""(Macron) confirmed that arms shipments from France will continue..."
82,politics,Biden urges Americans to 'reject the lie' of the Great Replacement during visit to Buffalo,"President Biden on Tuesday visited the scene of a racially motivated mass shooting that took place three days earlier. During the visit, the president and the first lady laid flowers at the supermarket where 13 people — 11 of whom were Black — were shot on Saturday by a white supremacist who drove several hours to intentionally target a predominately Black neighborhood."
83,politics,"Pennsylvania Governor Primary Election Results: Mastriano, Shapiro to face off in November","State Sen. Doug Mastriano, a far-right Republican who built a large following seeking to overturn President Joe Biden’s win in Pennsylvania, is the GOP nominee for governor, NBC News projected Tuesday. He'll face Democratic nominee Josh Shapiro, the state attorney general who ran unopposed, in November. Should Mastriano, who..."
84,politics,"Justice Department has asked Jan 6 committee for witness transcripts, report says"," Federal prosecutors have asked the House of Representatives committee investigating the 6 January 2021 attack on the Capitol to provide transcripts of witness interviews and depositions taken by committee members and staff, according to a New York Times report.A “person with knowledge of the matter” told the Times committee chairman Bennie Thompson has not reached any agreement with Attorney General Merrick Garland or other Justice Department officials regarding what, if any, documents will be provided.But the department has been in communication with the panel since 20 April, when Assistant Attorney General Kenneth Polite and District of Columbia US Attorney..."
85,politics,Fall of Mariupol appears at hand; fighters leave steel plant,"KYIV, Ukraine (AP) — Mariupol appeared on the verge of falling to the Russians on Tuesday as Ukraine moved to abandon the steel plant where hundreds of its fighters had held out for months under relentless bombardment in the last bastion of resistance in the devastated city. The capture..."
86,politics,Cracks Are Emerging in Putin's Alliance Against the West,The Collective Security Treaty Organization (CSTO) met in Moscow on Monday but only Belarus's leader showed support for the Ukraine war.
87,politics,"Doug Mastriano, Far-Right Election Denier, Wins Pennsylvania Gubernatorial Primary",The Christian nationalist who was near the Capitol during the Jan. 6 insurrection was endorsed by former President Donald Trump.
88,politics,US is flooded with guns: Justice Dept,"US firearms makers produced over 139 million guns for the commercial market over the two decades from 2000, including 11.3 million in 2020 alone, according to a new government report. Annual commercial gun production likewise surged: 3.9 million in 2000, hitting 11.3 million 20 years later."
89,politics,Israel to Simulate Massive Military Strike on Iran as Nuclear Fears Grow,"The simulation, dubbed ""Chariots of Fire,"" is reportedly the largest military drill in Israel's history."
90,politics,"Federal Election Commission deadlocks, won’t punish Trump","WASHINGTON (AP) — The Federal Election Commission has decided not to take action against former President Donald Trump after commissioners deadlocked over whether his campaign broke the law by masking how it was spending cash during the 2020 campaign. In a letter on Monday, the FEC notified the Campaign..."
91,politics,Justice Department asks Jan. 6 committee to share transcripts of closed-door interviews,"WASHINGTON — Justice Department officials heading up the criminal investigation into the attack on the U.S. Capitol have asked a House committee for transcripts of interviews conducted in its Jan. 6 investigation, another sign the Justice Department is widening its inquiry. The chief of the Justice Department’s Criminal Division,..."
92,politics,Biden's Centrist Brand Dealt New Blow by His Own Party in Pennsylvania,"Pennsylvania Lieutenant Governor John Fetterman easily won the state's Democratic Senate primary Tuesday, handing progressives a high-profile victory."
93,politics,Mariupol's fate in limbo after steelworks evacuation; Russia plays down NATO expansion,This was CNBC's live blog tracking developments on the war in Ukraine on Tuesday. See here for the latest updates. Luxembourg's foreign minister says he does not believe Turkey will block Sweden's and Finland's NATO membership bids despite the Turkish president's objections. Russia has played down the possible impact of...
94,politics,Scandal-plagued Rep. Madison Cawthorn is ousted in North Carolina primary,"The Republican narrowly lost to state Sen. Chuck Edwards, who had received the backing of some Republicans who had tired of Cawthorn's controversies."
95,politics,Elon Musk says 'a lot of people' in the Trump administration 'were effective at getting things done' – aside from Trump,"Musk said the Biden administration ""doesn't seem to get a lot done,"" and did not specify which Trump aides he thought did a good job."
96,politics,The company buying Trump's social network Truth Social warned investors about his history of bankruptcy and failed business ventures,"In a filing Monday, Digital World highlighted the failures of Trump Taj Mahal, Trump University, and Trump Vodka, among other ventures."
97,politics,"UFO sightings are ‘frequent and continuing’ – and some cannot be explained, Navy admits"," UFO sightings are “frequent and continuous,” a naval intelligence officer told members of a Congressional intelligence committee Tuesday morning. In his opening statements before the committee, Deputy Director of Naval Intelligence Scott Bray told members of the US House Intelligence Committee's subcommittee on Counterterrorism, Counterintelligence, and Counterproliferation that UFO sightings — or Unidentified Aerial Phenomona (UAPs) in the Pentagon’s new terminology —  have been common on military ranges since the 2000s.Mr Bray’s testimony comes as part of the first Congressional hearing on UFOs in more than 50 years. He was joined by US Undersecretary of Defense for Intelligence and Security..."
