,categories,headers,contents
19,politics,"Actress Reese Witherspoon, NFL star Derrick Henry and a Republican senator's 4 children are now all minority owners of Nashville's MLS soccer team",Tennessee Sen. Bill Hagerty says sports ownership runs in the family.
20,politics,"Russia’s war in Ukraine: complete guide in maps, video and pictures",Where is fighting happening and how did we get here?
21,politics,Denmark and Sweden summon Russia’s ambassadors after Russian spy plane violates air space,"Denmark and Sweden have summoned Russia’s envoys after a Russian spy plane allegedly violated their airspace.Both Denmark and Sweden authorities reported that a Russian plane entered Danish airspace on Friday evening — east of the Danish Baltic island of Bornholm — and then entered the Swedish airspace.“The Russian ambassador is summoned to the foreign ministry tomorrow,” Danish foreign minister Jeppe Kofod tweeted on Sunday. The Swedish foreign ministry also said the Russian ambassador would be summoned to Stockholm.“There exist established procedures for this kind of case. It concerns notably summoning the representative of the implicated nation to the foreign ministry,”..."
22,politics,"Conservatives don’t want true democracy, and ‘nice’ Republicans are no exception","It is often said that the US is the world’s oldest democracy. While that is not necessarily incorrect, depending on the definition of “democracy,” it tends to obscure more than it illuminates about the reality of American life. If we start from the assumption that America has been a stable, consolidated democracy for two and a half centuries, the current political conflict seems utterly baffling: where is the anti-democratic radicalization of the Republican party – and so many million Americans – coming from all of a sudden?"
23,politics,Trump on BLM Protesters: ‘Can’t You Just Shoot Them?’,"Former President Donald Trump asked then-Secretary of Defense Mark Esper if protests near the White House following the murder of George Floyd could be stopped by shooting protesters, according to Axios. Esper, who made the revelation in a book set to be released next week, said that Trump was “red-faced”..."
24,politics,"Ukraine Says Drone Destroyed 2 Russian Ships in Black Sea, Releases Video",Ukraine's military chief released a video that reportedly shows a Ukrainian Bayraktar drone striking two Russian Raptor fast-attack craft near Snake Island.
25,politics,Report: 10th Russian general killed in Ukraine,"Ukrainian officials reported their forces killed a Russian general near the Ukrainian city of Izyum on Saturday, making him the 10th general Russia has lost so far in its ongoing invasion of Ukraine. The Kyiv Post reported on Sunday that Ukrainian forces killed Russian Maj. Gen. Andrei Simonov. Ukrainian National..."
26,politics,"Trump appeal: $10,000 fine in record search ‘unconscionable’","NEW YORK (AP) — In a court appeal, a lawyer for Donald Trump said Monday it is “unconscionable and indefensible” for the ex-president to be held in contempt and fined $10,000 a day for failing to turn over documents he doesn’t possess. Attorney Alina Habba made..."
27,politics,"Closer look: Mysterious explosions, fires in Russia may signal war is moving beyond Ukraine",Could these events be a shift in the focus of the war? Graphics timeline tracks recent destruction in Russia and Russian-aligned territories.
28,politics,State Senators Claim Governor Ron DeSantis May Establish New Special District Overseeing Walt Disney World Property,"CNN correspondent Natasha Chen shared in a Twitter thread that, according to her fellow correspondent Leyla Santiago, Governor Ron DeSantis may establish a new special district run by his own appointees to oversee Walt Disney World Resort property after Reedy Creek Improvement District is dissolved. DeSantis signed the bill to..."
29,politics,"""Thorough victory"": Judge rules Jan. 6 committee can obtain data from Republican National Committee","S President Donald Trump speaks after his introduction by RNC Chairwoman Ronna Romney McDaniel at a fundraising breakfast in a restaurant in New York, New York on December 2, 2017. (MANDEL NGAN/AFP via Getty Images) A federal judge has rejected efforts by the Republican National Committee (RNC) to keep its..."
30,politics,"Death in Ukraine’s Kharkiv is everywhere, rarely explained","KHARKIV, Ukraine (AP) — The outskirts of Kharkiv have the feel of an open-air morgue, where the dead lie unclaimed and unexplained, sometimes for weeks on end, as Ukrainian and Russian forces fight for control of slivers of land. There is the charred body of a man, unidentifiable, propped..."
31,politics,Putin does not care how many Russians are killed,"The problem with Russia suffering “colossal losses” (Moscow confirms attack on Kyiv during UN chief’s visit, 29 April) is that this really does not matter to its leaders. You only have to look back at historic campaigns involving Russia and its satellites to see that one of its major tactics is to keep throwing men (and women) into battle until the other side runs out of steam."
32,politics,How much in student debt could Biden forgive? Here's what's on the table,"Student loan borrowers who've been uncertain of the future of their debt for years will likely soon get an answer. Still, the shape student debt forgiveness should take continues to be fiercely debated in the weeks before an expected White House announcement. President Joe Biden recently said that he'd be..."
33,politics,Ukraine's Zelenskiy says Russia forgot World War Two lessons,"LVIV, Ukraine (Reuters) - Ukraine’s President Volodymyr Zelenskiy said on Monday that Russian Foreign Minister Sergei Lavrov’s suggestion that Nazi leader Adolf Hitler had Jewish origins showed that Moscow has forgotten, or never learned, the lessons of World War Two. “I have no words...No one has heard any..."
34,politics,Why Donald Trump is now undermining his greatest — and only — presidential achievement,"When Donald Trump ran for president in 2016, he was seen as a ""populist"" right-wing politician railing about free trade and immigration to push an isolationist worldview, all of which was out of step with what we knew as the modern conservative movement up to that moment. Sure there had been a rump group of paleoconservatives, like Pat Buchanan, who had staged a couple of fringe presidential campaigns in prior decades. The independent candidacy of millionaire Ross Perot had raised some of the same issues and appealed to many of the same voter concerns. But it was Trump whose TV celebrity and flamboyant personality managed to take those ideas straight into the mainstream of the Republican Party."
35,politics,Greg Abbott Is Considering Declaring Texas Under ‘Invasion’,"Texas Gov. Greg Abbott is openly musing about declaring Texas under “invasion” in what would be a radical, legally dubious attempt to address the state’s migrant crisis. The plan would involve invoking war powers and allowing state police to begin rounding up migrants and asylum-seekers and then dispatching them over the border into Mexico—at a moment when federal authorities are bracing for the number of migrant crossings to potentially triple this summer."
36,politics,Report: Hundreds of USS George Washington sailors living aboard ship to be moved off,"Amidst a raft of suicides, other deaths, miserable living conditions and media scrutiny of the aircraft carrier George Washington in recent weeks, the ship’s commanding officer told the crew Thursday that 260 affected sailors will be moved off site as the ship wraps up years of maintenance in Newport News, Virginia, according to media reports."
37,politics,"Durham wants records from Clinton 2016, Fusion GPS for Sussmann trial","Special counsel John Durham is pressing for access to records from Hillary Clinton’s failed presidential campaign and others tied to the FBI’s probe into a purported “secret channel” between former President Donald Trump’s 2016 campaign and Russia.

All sides are scheduled to appear in court Wednesday for a hearing on defense contentions that the materials shouldn’t be used in the upcoming trial of lawyer Michael Sussmann.

He’s charged with lying about his ties to the Clinton campaign when he told the FBI about since-debunked research into suspected cyber communications between Russia’s Alfa-Bank and the Trump Organization.

In court papers filed last month, Durham..."
38,politics,Maggie Hassan released an ad Monday focused on her breaks with the Democratic Party. Later this week she will win a coveted title: the most bipartisan senator.,"Susan Collins often wins the ranking. What happened: First-term Sen. Maggie Hassan (D-N.H.) will top the bipartisan index that will be released this week by the Lugar Center and McCourt School of Public Policy at Georgetown University, according to a person familiar with the ranking. It's a boon for the New Hampshire Democrat’s reelection campaign."
39,politics,Florida mom filing suit after child transitioned at school without her consent: 'Happening all over' US,"A Florida mother is filing suit and issuing a stark warning to parents nationwide after her transgender child transitioned at school without her consent. Florida mom and mental health professional January Littlejohn and her attorney Vernadette Broyles discussed the lawsuit and why she is ""outraged"" over the incident. ""This is..."
40,politics,Russia struggles to turn Black Sea rule into amphibious attack,"Russia may rule the Black Sea but any amphibious assault on the Ukrainian coast seems risky while Kyiv's missiles threaten to destroy Russian ships if they get too close, experts say. Whatever the outcome of the Ukraine war, Russia will not give up its Black Sea role quietly, experts agreed."
41,politics,Internal poll: GOP candidate ahead in Texas special election,"The race to replace former Democratic Rep. Filemon Vela, who resigned earlier this year, is slated for June 14."
42,politics,The FDA Uses Its New Authority To Close Off the Last Remaining Legal Option for Vapers Who Like Flavor Variety,"The Food and Drug Administration (FDA) is moving fast to close off what seems to be the last remaining legal option for vaping companies that want to provide the e-liquid flavors that former smokers overwhelmingly prefer. Exercising regulatory authority that Congress recently gave it, the FDA has set a May 14 deadline for seeking ""premarket"" approval of vaping products that deliver nicotine derived from sources other than tobacco. Companies that fail to submit applications by then, the agency warns, ""will be subject to FDA enforcement."""
43,politics,Whoopi Goldberg suggests White House have 'giant meeting' to stop staff 'microaggressions' against VP Harris,"""The View"" co-host Whoopi Goldberg suggested Monday that the White House have ""a giant meeting"" to stop alleged staff ""microaggressions"" against Vice President Kamala Harris. According to journalists Jonathan Martin and Alex Burns, who joined the show to discuss their joint book about the 2020 election and the first year of President Biden's administration titled, ""This Will Not Pass,"" Harris felt ""disrespected"" by staffers in the West Wing because they failed to stand whenever she walked into the room."
44,politics,Kardashians Win Blac Chyna Defamation Lawsuit,"Watch: Kardashians vs. Blac Chyna Trial: MAJOR BOMBSHELLS. More than a week after Blac Chyna's defamation case against the Kardashian-Jenner family kicked off in court, a verdict has been reached. On May 2, the jury awarded no damages to Chyna, who accused Kim Kardashian, Khloe Kardashian, Kylie Jenner and Kris..."
45,politics,‘Interest in This Information Is Strong’: Federal Judge Rejects Republican Party’s Attempt to Scuttle Jan. 6 Committee’s Subpoena,"The Republican Party cannot scuttle the Jan. 6th Committee’s subpoena to its vendor investigating how election-fraud lies led to the attack on the U.S. Capitol, a federal judge ruled. “This case presents an unusual thicket of procedural and substantive issues, in part because of the way the Select Committee..."
46,politics,Georgia Representative Marjorie Taylor Greene's Testimony Called Into Question as She Attempts to Remain on the Ballot ,"After being sued by a group of Georgia voters, Greene testifies that she can't recall many of the events asked about under oath which the voters say is contradicted by a text she sent."
47,politics,Missouri execution to go ahead after governor declines to give 11th hour reprieve,"Missouri Governor Mike Parson has said he will not grant clemency to death row inmate Carman Deck after the US Supreme Court declined to intervene to halt the man’s execution.Deck, 56, is scheduled to die by lethal injection at 6 pm on Tuesday at the state prison in Bonne Terre for the double murder of an elderly couple during a robbing at their rural home in July 1996.After the Supreme Court refused to hear the case, Mr Parson said in a statement on Monday that the execution will go ahead. “Mr Deck has received due process, and three separate juries..."
48,politics,Oath Keepers Wanted to Protect Ex-Trump Doctor’s ‘Critical Data’ on Jan. 6,"As rioters stormed the U.S. Capitol on Jan. 6, 2021, certain members of the Oath Keepers learned that a U.S. Congress member needed “help” from their militia. “Dr. Ronnie Jackson—on the move. Needs protection,” wrote an unidentified Oath Keeper in a text message at 3:08 p.m. “If anyone inside cover him. He has critical data to protect.” (Jackson’s first name is spelled Ronny.)"
49,politics,"Ukraine says it destroyed Russia's Izyum command center, killing 200 but just missing Russia's top general","Ukrainian officials said an attack on a key Russian command center in the eastern city of Izyum on Saturday evening killed about 200 Russian troops, including Maj. Gen. Andrei Simonov, but just missed hitting the chief of the general staff of the Russian military, Gen. Valery Gerasimov, who had just concluded a secret visit to the army and airborne command center. Earlier, unconfirmed reports suggested Gerasimov was wounded in the strike."
50,politics,Human remains found in barrel as Lake Mead drops to historic low amid drought,"The person was likely killed in the 1980s based on items found in the barrel, Las Vegas police said."
51,politics,Biden's New Proposal Would Increase How Much Rich Pay In Taxes,"The White House just shared a new minimum tax on billionaires that would completely change how individuals are taxed in the United States. The proposal is sure to generate fierce opposition from Republicans and others and would include a minimum rate for all Americans with a wealth of more than $100 million. In this plan, the minimum rate would be 20% of this group’s total annual income. Unrealized gains — such as unsold stocks and bonds — would be included in the total. (source)"
52,politics,"Democrat Joe Manchin endorsed in a House GOP member-on-member contest in his home state, picking David McKinley over Alex Mooney.","""David has been truly a dyed-in-the-wool hardcore Republican all his life conservative, but so rational and so easy to work with ... There's a person who had had the courage to put West Virginia first above his politics — and vote for us to be able to bring 4 billion dollars to West Virginia."""
53,politics,The 10 Most Dangerous Places to Live in Maine Right Now,"Safety is important to anyone and everyone when thinking about where they're going to live and put down roots. In the state of Maine, the concerns over dangerous criminals and violent crimes is relatively modest compared to other states across the country. It's for good reason, too. According to SafeWise, Maine has the lowest violent crime rate in the entire nation overall, with a handful of cities that continue to battle the problem. The definition of violent crime includes murder, assault, aggravated assault, and other crimes of that nature. But that is only part of the story."
54,politics,Here's when your Georgia surplus tax refund could arrive,Keep an eye on your bank account. Your balance may go up soon.
55,politics,Aviano F-16s take over Black Sea NATO air policing mission,The Russian invasion of Ukraine is steadily approaching it’s third month. And airmen from Aviano Air Base in Italy are preparing to take over for Air Force fighter jets from Spangdahlem Air Base currently serving as the U.S. contingent in NATO air policing efforts in Romania. Six F-16 Fighting...
56,politics,Trump news – live: Ex-president finally settles inauguration hotel lawsuit and complains about Roe v Wade leak," Donald Trump has settled a long-running lawsuit brought by the DC attorney general over the financing of his 2017 inauguration, specifically focused on the Trump International Hotel on Pennsylvania Avenue.In a statement, Mr Trump claimed to be settling the case “with absolutely no admission of liability or guilt” and couched the news in the context of violent crime, essentially saying he was giving the capital’s law enforcement agencies a break. The settlement reportedly totals some $750,000.Meanwhile, the sometime president has also joined other Republicans in decrying the leak of Supreme Court Justice Samuel Alito’s draft opinion overturning Roe v..."
57,politics,Pelosi's daughter calls glitzy WHCA dinner a 'bigger threat to our democracy' than Elon Musk,"Christine Pelosi, the daughter of House Speaker Nancy Pelosi, D-Calif., disparaged the White House Correspondents' Dinner last week as a greater threat to democracy than Elon Musk's recent purchase of Twitter. ""A ‘NerdProm Week’ of corporate media feting the politicos they cover with celebrities and booze rather than a simple..."
58,politics,"PLA Pilot Was Ready To 'Pull The Trigger' On 'Intruding' Foreign Warship, Says Chinese Video","A video aired by Chinese state television has featured a fighter pilot who claimed he was ready to ""pull the trigger"" on a foreign warship that reportedly intruded into Chinese waters in the South China Sea. Gao Zengsong, captain of a PLA Air Force unit, said he was willing to ""sacrifice himself"" for the mission."
59,politics,George W. Bush to appear at fundraiser for Trump nemesis Kemp,Kemp has been sharply criticized by Trump for his resistance to the former president’s efforts to overturn the results of the 2020 election.
60,politics,"The Inspiring Story Of Constance Baker Motley, The First Black Woman On The Federal Bench","A groundbreaking civil rights strategist, Constance Baker Motley argued 10 landmark cases before the Supreme Court — and won nine of them. Rumors swirled in the 1960s that a Black woman might be nominated to the Supreme Court. And every rumor named the same person: Judge Constance Baker Motley, the first Black woman appointed to the federal judiciary."
61,politics,"‘Unforgivable’: Hitler Had Jewish Blood, Russian Foreign Minister Wrongly Claims",Russia’s veteran foreign minister Sergey Lavrov has sparked a furious response from Israel after wrongly claiming that Nazi leader Adolf Hitler had Jewish ancestry. Lavrov made the comments in an interview with Italian media after being asked how Russia could justify its invasion of Ukraine on a pretext of “de-Nazification” when Ukraine’s President Volodymyr Zelenskyy is Jewish.
62,politics,At Least Six Government Agencies Are Trying to Track Down the Wild Turkey That’s Attacking People in D.C.,"At a time of the year when most hunters would love to be charged by a longbeard, people in D.C. are running from one. Anacostia Riverwalk Trail is usually a pleasant place to go for a walk or a jog. But now that a wild turkey has taken over the wooded patch between Kenilworth Mash and the Anacostia River, trail patrons are starting to steer clear of his domain."
63,politics,"Ukraine is the focus, but Russian troops are in several ex-Soviet republics","Russian forces have been active in multiple former Soviet republics this year, a reflection of Russian leader Vladimir Putin's desire to maintain a 'sphere of influence' beyond Russia's borders."
64,politics,Putin invaded Ukraine. But Russian immigrants are paying the price.,"A week before our daughter was born, I received a long message from my partner’s parents. Its contents surprised me. They wanted to know whose surname we planned to give her. Consider her future, they urged. She will have better opportunities if she has your last name. I’m Australian,..."
65,politics,"More than a quarter of Russia's army in Ukraine now 'combat ineffective,' UK says","More than a quarter of troops that Russia sent to fight in Ukraine are now believed to be ""combat ineffective,"" the United Kingdom announced Monday. The startling statistic comes as Russia’s bloody invasion of Ukraine is in its 68th day. Prior to the assault from Vladimir Putin’s army, it was estimated that Moscow assembled around 150,000 soldiers to participate in the war."
66,politics,Draft document gives new clues to Russian plans for occupied Ukrainian regions,This article was originally published by Radio Free Europe/Radio Liberty and is reprinted with permission. A draft document prepared by top officials with Russia’s ruling political party calls for a new state named Southern Rus to be created from some regions of Ukraine occupied by Russian forces. News of...
67,politics,U.S. Supreme Court to decide when highly paid workers deserve overtime pay,"(Reuters) - The U.S. Supreme Court on Monday agreed to decide whether a supervisor of offshore oil rig workers is entitled to overtime pay under federal law even though he earns more than $200,000 a year, with potentially costly implications for the oil and gas industry and other employers. The..."
68,politics,"Federal REAL ID enforcement begins May 3, 2023","The Pennsylvania Department of Transportation announced that federal enforcement of REAL ID for commercial domestic air travel and other federal purposes begins May 3, 2023. REAL ID is a federal law that affects how states issue driver’s licenses and ID cards if they are going to be acceptable for federal purposes, such as boarding a domestic flight or entering a federal building that requires federally acceptable ID upon entry. A federally acceptable form of identification (whether it’s a Pennsylvania REAL ID driver’s license or ID card, a valid U.S. Passport/Passport Card, a military ID, etc.) must be used for these purposes on and after May 3, 2023."
69,politics,The GOP’s political stunts come at a high cost for Americans,"With November's midterm election approaching, conservative officials at both the state and national level are engaging in a variety of political stunts. Taken together, the stunts show Republicans’ desperation in pitching Americans an image of political disarray and pinning it to the Biden administration, even if it leaves taxpayers footing the bill to the tune of millions — even billions — of dollars."
70,politics,"Supreme Court, governor decline to stop Missouri execution","The U.S. Supreme Court on Monday declined to halt the upcoming execution of Missouri inmate Carman Deck, and Republican Gov. Mike Parson said he will not grant clemency. Deck, 56, is scheduled to die by injection at 6 p.m. Tuesday at the state prison in Bonne Terre for killing a couple while robbing their rural home in July 1996."
71,politics,U.S. Supreme Court to weigh whether wife liable in bankruptcy for husband’s fraud,"(Reuters) - The U.S. Supreme Court on Monday agreed to hear a case to determine whether an individual in bankruptcy is liable for her business partner’s — and husband's — fraud, even if she was unaware of her partner’s actions. California resident Kate Bartenwerfer has asked..."
72,politics,The Oath Keepers Wanted to Protect a MAGA Lawmaker. The Jan. 6 Committee Wants to Know Why,"Click here to read the full article. The Jan. 6 committee on Monday requested the voluntary cooperation of three of former President Trump’s biggest supporters in Congress: Reps. Andy Biggs (R-Ariz.), Mo Brooks (R-Ala.), and Ronny Jackson (R-Texas).
The committee referenced Biggs’ alleged role regarding “various aspects of planning for Jan. 6.” Rolling Stone reported last fall that Biggs was one of several lawmakers who participated in the planning of the rally near the White House that preceded the riot at the Capitol. It noted how Brooks recently said that Trump asked him to “rescind” the 2020 election and put him..."
73,politics,U.S. immigration policies that aggravated the humanitarian crisis,"Several spokespersons from Mexico shared harsh stories of migrants trapped while their application was being processed, such as Lisbet, who was repeatedly raped by a Mexican policeman, or Yeri, who slept next to a corpse for three days in a detention center in Ciudad Juarez."
74,politics,Kentucky Derby 2022: Everything you need to know,The Kentucky Derby is one of the most prestigious yearly events in all of horse racing. The grand race features
75,politics,"Washington Post, Politico agree Biden will make 'crucial' midterms about Donald Trump","The Washington Post and Politico outlined President Biden's strategy and challenges going into the midterms, forecasting that he and his aides are going to largely make the contest about former President Donald Trump. Politico White House Bureau Chief Jonathan Lemire wrote Monday that Biden's aides were looking at ""turning the..."
76,politics,Senate Democrat facing tough re-election puts plenty of daylight between herself and Biden in new TV ad,"Sen. Maggie Hassan wants voters in her home state of New Hampshire to know that she’s doing everything she can to help ease the pain of soaring gas prices. The former governor and first-term senator, who faces a potentially challenging re-election in this November's midterms, went up on Monday with a new TV ad that spotlights her push to temporarily eliminate the federal gas tax."
77,politics,Trump Can't Recall Name Of That Ohio Guy He Endorsed For Senate,“We’ve endorsed ... J.P.? Right?” the former president asked at a Nebraska political rally.
78,politics,Jury gives sweeping win to Kardashians in Blac Chyna lawsuit,"LOS ANGELES (AP) — A jury on Monday gave a sweeping win to the Kardashian family in former reality TV star Blac Chyna’s lawsuit against them. The Los Angeles jury found that none of the members defamed Chyna, nor did any interfere with her contract by convincing the E! network to cancel her reality show “Rob & Chyna.”"
79,politics,Today's D Brief: Ukraine says drones sank Russian boats; USMC general’s lament; Dozens die in Kabul blast; DHS disinfo backlash; And more.,"Ukraine’s military claims it sank two more Russian boats in the Black Sea. The vessels were allegedly patrol boats this time around, and Ukraine says it used Turkish TB-2 drones for the early morning strikes. That would be a notable contrast with Kyiv’s new Neptune anti-ship missile, which Ukrainian officials said was used to sink Russia’s much larger Black Sea flagship, Moskva, about three weeks ago."
80,politics,The $100 bill she gave two sisters on a plane 23 years ago changed their lives. Now finding them has changed hers,"Former refugee Ayda Zugay's decade-long quest to find and thank the woman who gave her $100 and a welcoming message in 1999 has ended. Zugay reunited on Zoom with the mystery woman, Tracy Peck, a day after CNN published a story about her search."
81,politics,"The IRS could auto-fill nearly half of taxpayers returns, according to a new paper — meaning they wouldn't have to spend time and money filing their taxes","Right now, Americans spend billions of dollars — and hours — preparing their taxes. But many could have their returns pre-populated."
82,politics,Jill Biden Kicks Off Met Gala With Preview of 'In America' Exhibit,"First Lady Dr. Jill Biden on Monday kicked off a preview of the Metropolitan Museum of Art's ""In America: An Anthology of Fashion"" exhibition ahead of this evening's Met Gala. Prior to taking a tour of the exhibit, Dr. Biden delivered remarks about the importance of fashion, saying ""style helps us express things that can't be put in words."""
83,politics,Russia's Most Elite Military Units Will Be Weakened for Years: U.K.,"The British Ministry of Defence tweeted that more than one-quarter of Russia's battalion tactical groups in Ukraine have been ""rendered combat ineffective."""
84,politics,Trump to rally in Wyoming against GOP foe Rep. Liz Cheney,"Former President Donald Trump on Monday announced a large rally in Wyoming to boost Harriet Hageman, the Republican challenger seeking to unseat Rep. Liz Cheney.

The rally will be held in Casper, Wyo., on Saturday, May 28, Trump’s Save America PAC said.

Hageman, an attorney, and Cheney, who is a daughter of former Vice President Dick Cheney, face off on Aug. 16 in the nation’s least populous state.

Cheney was the No. 3 House Republican until she was ousted last year in retaliation for her persistent criticism of Trump. Her House colleagues initially stood by her after she joined nine other Republicans in..."
85,politics,"Less than half of Americans have confidence in economic performance of Joe Biden or Jerome Powell, new poll finds"," Americans’ confidence in top US leaders to navigate the highest inflation rate in more than 40 years and a dire cost-of-living crisis is waning in comparison to last year, according to the findings from a recent Gallup poll.Since last April, the inflation rate in the country has doubled and confidence in figures like US President Joe Bien, Federal Reserve Chairman Jerome Powell and leaders in Congress has declined by double digits, the survey, published on Monday, found.Four out of 10 respondents said they have “a great deal” or “a fair amount” of confidence in Biden and Republicans in Congress..."
